province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m),Unnamed: 0,Unknown,Year,CityEN
吉林,543860,长白,4125,12811.0,777.8,160,99999,2016,
江苏,580270,徐州,3417,11709.0,42.0,321,99999,2016,Xuzhou
江苏,580400,赣榆,3451,11908.0,10.8,322,99999,2016,
江苏,581410,淮安,3338,11856.0,13.7,324,99999,2016,Huai'an
江苏,581500,射阳,3345,12018.0,3.0,325,99999,2016,
江苏,582380,南京,3156,11854.0,36.4,329,99999,2016,Nanjing
江苏,582510,东台,3251,12017.0,4.1,331,99999,2016,
江苏,582650,吕泗,3204,12136.0,6.5,332,99999,2016,
江苏,583450,溧阳,3126,11929.0,8.1,337,99999,2016,
江西,575980,修水,2902,11435.0,144.4,294,99999,2016,
江西,577930,宜春,2748,11423.0,132.3,306,99999,2016,Yichun
江西,577990,吉安县,2703,11455.0,73.7,307,99999,2016,
江西,579930,赣县,2552,11500.0,138.7,319,99999,2016,
江西,585060,庐山,2935,11559.0,1165.4,345,99999,2016,
江西,585270,景德镇,2918,11712.0,62.9,346,99999,2016,Jingdezhen
江西,586060,南昌,2836,11555.0,47.9,350,99999,2016,Nanchang
江西,587150,南城,2735,11639.0,82.0,354,99999,2016,
江西,588130,广昌,2651,11620.0,141.5,360,99999,2016,
江西,591020,寻乌,2457,11539.0,302.6,378,99999,2016,
辽宁,542360,彰武,4223,12233.0,85.0,147,99999,2016,
辽宁,542590,清原,4204,12452.0,230.0,148,99999,2016,
辽宁,543240,朝阳,4133,12026.0,175.3,153,99999,2016,Chaoyang
辽宁,543240,朝阳,4133,12026.0,175.3,153,99999,2016,Chaoyang
辽宁,543420,沈阳,4144,12331.0,49.5,155,99999,2016,Shenyang
辽宁,543460,本溪,4119,12347.0,186.1,157,99999,2016,Benxi
辽宁,544710,营口,4039,12210.0,4.6,165,99999,2016,Yingkou
辽宁,544930,宽甸,4043,12447.0,261.1,166,99999,2016,
辽宁,544970,丹东,4003,12420.0,13.1,167,99999,2016,Dandong
辽宁,546620,大连,3854,12138.0,92.5,175,99999,2016,Dalian
内蒙古,504340,图里河,5029,12141.0,733.7,15,99999,2016,
内蒙古,505270,海拉尔,4915,11942.0,650.4,17,99999,2016,
内蒙古,505480,小二沟,4912,12343.0,287.2,18,99999,2016,
内蒙古,506030,新巴尔虎右旗,4840,11649.0,556.0,21,99999,2016,
内蒙古,507270,阿尔山,4710,11956.0,997.7,24,99999,2016,
内蒙古,509150,东乌珠穆沁,4531,11658.0,838.9,32,99999,2016,
内蒙古,530680,二连浩特,4338,11156.0,964.1,94,99999,2016,
内蒙古,530830,那仁宝力格,4437,11409.0,1182.9,95,99999,2016,
内蒙古,531490,满都拉气象站,4232,11008.0,1226.7,96,99999,2016,
内蒙古,531920,阿巴嘎旗,4401,11457.0,1127.3,97,99999,2016,
内蒙古,532310,海力素,4124,10624.0,1510.6,98,99999,2016,
内蒙古,533360,乌拉特中旗,4134,10831.0,1289.2,100,99999,2016,
内蒙古,533520,达茂旗气象局,4142,11026.0,1376.2,101,99999,2016,
内蒙古,533910,化德,4154,11400.0,1484.6,102,99999,2016,
内蒙古,534630,呼和浩特,4051,11134.0,1154.4,104,99999,2016,Hohehot
内蒙古,534800,集宁,4102,11304.0,1421.5,105,99999,2016,
内蒙古,535130,临河,4044,10722.0,1042.3,108,99999,2016,
内蒙古,535290,鄂托克旗,3905,10758.0,1381.7,109,99999,2016,
内蒙古,535430,东胜,3950,10959.0,1462.8,110,99999,2016,
