,station_id,Unknown,Year
181,548080,99999,2016
182,548230,99999,2016
183,548260,99999,2016
184,548360,99999,2016
185,548430,99999,2016
186,548525,99999,2016
187,548570,99999,2016
188,548630,99999,2016
189,549090,99999,2016
190,549160,99999,2016
191,549290,99999,2016
192,549450,99999,2016
193,552280,99999,2016
194,552790,99999,2016
195,552990,99999,2016
196,554720,99999,2016
197,555780,99999,2016
198,555910,99999,2016
199,556640,99999,2016
200,556960,99999,2016
201,557730,99999,2016
202,560040,99999,2016
203,560180,99999,2016
204,560210,99999,2016
205,560290,99999,2016
206,560330,99999,2016
207,560460,99999,2016
208,560650,99999,2016
209,560790,99999,2016
210,560800,99999,2016
211,560960,99999,2016
212,561060,99999,2016
213,561160,99999,2016
214,561370,99999,2016
215,561440,99999,2016
216,561460,99999,2016
217,561520,99999,2016
218,561670,99999,2016
219,561720,99999,2016
220,561820,99999,2016
221,561870,99999,2016
222,561960,99999,2016
223,562470,99999,2016
224,562570,99999,2016
225,562870,99999,2016
226,562940,99999,2016
227,563120,99999,2016
228,563570,99999,2016
229,563740,99999,2016
230,563850,99999,2016
231,564440,99999,2016
232,564620,99999,2016
233,564625,99999,2016
234,564920,99999,2016
235,565710,99999,2016
236,565860,99999,2016
237,566510,99999,2016
238,566710,99999,2016
239,566840,99999,2016
240,566910,99999,2016
241,567390,99999,2016
242,567480,99999,2016
243,567510,99999,2016
244,567630,99999,2016
245,567680,99999,2016
246,567780,99999,2016
247,567860,99999,2016
248,568380,99999,2016
249,568860,99999,2016
250,569460,99999,2016
251,569510,99999,2016
252,569540,99999,2016
253,569590,99999,2016
254,569640,99999,2016
255,569660,99999,2016
256,569690,99999,2016
257,569770,99999,2016
258,569850,99999,2016
259,570140,99999,2016
260,570250,99999,2016
261,570360,99999,2016
262,570460,99999,2016
263,570670,99999,2016
264,570710,99999,2016
265,570830,99999,2016
266,571270,99999,2016
267,571310,99999,2016
268,571780,99999,2016
269,571930,99999,2016
270,572370,99999,2016
271,572450,99999,2016
272,572590,99999,2016
273,572650,99999,2016
274,572790,99999,2016
275,572900,99999,2016
276,572970,99999,2016
277,573060,99999,2016
278,573270,99999,2016
279,573280,99999,2016
280,573480,99999,2016
281,573780,99999,2016
282,573990,99999,2016
283,574110,99999,2016
284,574260,99999,2016
285,574470,99999,2016
286,574610,99999,2016
287,574760,99999,2016
288,574940,99999,2016
289,574941,99999,2016
290,575030,99999,2016
291,575160,99999,2016
292,575540,99999,2016
293,575840,99999,2016
294,575980,99999,2016
295,576040,99999,2016
296,576330,99999,2016
297,576550,99999,2016
298,576620,99999,2016
299,576870,99999,2016
300,577070,99999,2016
301,577120,99999,2016
302,577310,99999,2016
303,577450,99999,2016
304,577660,99999,2016
305,577760,99999,2016
306,577930,99999,2016
307,577990,99999,2016
308,578160,99999,2016
309,578320,99999,2016
310,578450,99999,2016
311,578530,99999,2016
312,578660,99999,2016
313,579020,99999,2016
314,579160,99999,2016
315,579220,99999,2016
316,579320,99999,2016
317,579570,99999,2016
318,579720,99999,2016
319,579930,99999,2016
320,579931,99999,2016
321,580270,99999,2016
322,580400,99999,2016
323,581020,99999,2016
324,581410,99999,2016
325,581500,99999,2016
326,582030,99999,2016
327,582080,99999,2016
328,582210,99999,2016
329,582380,99999,2016
330,582390,99999,2016
331,582510,99999,2016
332,582650,99999,2016
333,583140,99999,2016
334,583210,99999,2016
335,583211,99999,2016
336,583380,99999,2016
337,583450,99999,2016
338,583620,99999,2016
339,583670,99999,2016
340,584240,99999,2016
341,584370,99999,2016
342,584570,99999,2016
343,584720,99999,2016
344,584770,99999,2016
345,585060,99999,2016
346,585270,99999,2016
347,585430,99999,2016
348,585560,99999,2016
349,585690,99999,2016
350,586060,99999,2016
351,586330,99999,2016
352,586460,99999,2016
353,586660,99999,2016
354,587150,99999,2016
355,587250,99999,2016
356,587300,99999,2016
357,587310,99999,2016
358,587520,99999,2016
359,587540,99999,2016
360,588130,99999,2016
361,588340,99999,2016
362,588470,99999,2016
363,589110,99999,2016
364,589210,99999,2016
365,589260,99999,2016
366,589310,99999,2016
367,589440,99999,2016
368,589680,99999,2016
369,589740,99999,2016
370,590070,99999,2016
