province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m)
广西,579410,三江,2547,10936.0,198.4
广西,579420,龙胜,2548,11000.0,269.2
广西,579470,融安,2513,10924.0,122.5
广西,579480,融水,2505,10915.0,123.9
广西,579490,永福,2459,11000.0,158.0
广西,579540,临桂,2514,11011.0,158.8
广西,579550,兴安,2537,11040.0,225.2
广西,579560,灵川,2525,11019.0,169.1
广西,579570,桂林,2519,11018.0,165.6
广西,579600,全州,2556,11104.0,196.8
广西,579640,灌阳,2530,11109.0,264.3
广西,590010,隆林,2447,10520.0,673.4
广西,590040,西林,2430,10506.0,727.1
广西,590120,乐业,2447,10633.0,973.4
广西,590150,凌云,2421,10634.0,439.1
广西,590170,田林,2416,10616.0,279.4
广西,590210,凤山,2433,10702.0,510.6
广西,590230,河池,2442,10802.0,261.2
广西,590250,东兰,2432,10723.0,250.0
广西,590270,巴马,2408,10715.0,256.1
广西,590310,环江,2449,10816.0,343.5
广西,590340,宜州,2429,10840.0,151.9
广西,590370,都安,2356,10806.0,172.0
广西,590380,忻城,2404,10839.0,139.7
广西,590410,柳城,2439,10915.0,109.4
广西,590440,沙塘,2428,10923.0,98.7
广西,590450,鹿寨,2429,10945.0,95.9
广西,590460,柳州,2421,10924.0,97.8
广西,590470,柳江,2415,10920.0,102.1
广西,590520,恭城,2450,11049.0,170.8
广西,590530,平乐,2437,11040.0,107.0
广西,590550,荔浦,2430,11024.0,166.9
广西,590570,金秀,2408,11011.0,832.1
广西,590580,蒙山,2412,11031.0,183.1
广西,590590,昭平,2411,11048.0,107.0
广西,590650,贺州,2425,11130.0,149.9
广西,592090,那坡,2325,10550.0,795.1
广西,592110,百色,2354,10636.0,175.9
广西,592150,德保,2320,10638.0,681.2
广西,592180,靖西,2308,10625.0,741.1
广西,592240,田东,2336,10707.0,112.4
广西,592270,天等,2307,10708.0,455.4
广西,592280,平果,2319,10735.0,110.0
广西,592290,隆安,2310,10742.0,126.9
广西,592300,马山,2343,10810.0,169.2
广西,592350,上林,2326,10837.0,116.8
广西,592370,武鸣,2310,10817.0,112.8
广西,592380,宾阳,2313,10848.0,123.7
广西,592410,象州,2358,10941.0,91.7
广西,592420,来宾,2345,10914.0,86.1
广西,592460,武宣,2336,10940.0,71.2
广西,592550,平南,2333,11023.0,33.7
广西,592560,藤县,2322,11055.0,55.9
广西,592650,梧州,2329,11118.0,116.0
广西,592660,苍梧,2325,11114.0,43.7
广西,594190,凭祥,2206,10645.0,243.4
广西,594210,大新,2250,10712.0,256.3
广西,594290,上思,2211,10801.0,217.2
广西,594310,南宁,2238,10813.0,122.6
广西,594320,南宁城区,2248,10824.0,195.6
广西,594350,邕宁,2246,10829.0,75.9
广西,594410,横县,2242,10915.0,79.7
广西,594460,灵山,2225,10918.0,67.8
广西,594480,浦北,2216,10933.0,70.8
广西,594490,博白,2218,10959.0,87.1
广西,594510,北流,2242,11021.0,99.4
广西,594520,容县,2250,11032.0,132.7
广西,594540,岑溪,2257,11100.0,203.2
广西,594570,陆川,2219,11016.0,122.8
广西,596320,钦州,2157,10837.0,5.8
广西,596350,防城港,2137,10821.0,32.5
广西,596400,合浦,2140,10911.0,6.6
广西,596440,北海,2127,10908.0,14.0
贵州,565980,赫章,2708,10444.0,1538.1
贵州,566910,威宁,2652,10417.0,2238.6
贵州,567920,普安,2547,10458.0,1648.5
贵州,567930,盘县,2543,10428.0,1796.0
贵州,576060,桐梓,2808,10650.0,972.7
贵州,576230,道真,2853,10736.0,684.6
贵州,576250,正安,2833,10727.0,678.2
贵州,576340,务川,2831,10753.0,658.0
贵州,576360,沿河,2834,10830.0,335.4
贵州,576370,德江,2815,10806.0,630.5
贵州,576470,松桃,2809,10911.0,406.9
贵州,577070,毕节,2718,10517.0,1511.5
贵州,577080,大方,2709,10536.0,1701.2
贵州,577100,仁怀,2748,10624.0,891.0
贵州,577140,金沙,2728,10614.0,943.0
贵州,577170,遵义县,2732,10650.0,975.0
贵州,577180,息烽,2706,10643.0,1113.2
贵州,577190,开阳,2704,10658.0,1280.7
贵州,577220,湄潭,2746,10728.0,792.9
贵州,577230,凤冈,2759,10743.0,709.1
贵州,577280,瓮安,2704,10728.0,1097.9
贵州,577290,余庆,2714,10753.0,621.3
贵州,577310,思南,2757,10815.0,417.7
贵州,577320,印江,2801,10824.0,458.0
贵州,577340,石阡,2734,10814.0,468.5
贵州,577350,岑巩,2711,10849.0,405.3
贵州,577360,江口,2742,10851.0,370.7
贵州,577370,施秉,2702,10807.0,548.3
贵州,577380,镇远,2703,10825.0,517.0
贵州,577390,玉屏,2714,10855.0,391.2
贵州,577410,铜仁,2743,10911.0,283.5
贵州,577420,万山,2731,10912.0,885.3
贵州,578000,纳雍,2646,10522.0,1458.6
贵州,578030,黔西,2702,10601.0,1234.5
贵州,578050,织金,2641,10546.0,1320.8
贵州,578060,安顺,2615,10554.0,1430.5
贵州,578070,六枝,2612,10528.0,1363.2
贵州,578080,普定,2619,10545.0,1275.7
贵州,578090,镇宁,2604,10545.0,1252.0
贵州,578110,修文,2650,10636.0,1296.7
贵州,578140,平坝,2625,10616.0,1299.2
贵州,578160,贵阳,2635,10644.0,1224.9
贵州,578210,福泉,2642,10730.0,926.5
贵州,578220,黄平,2654,10754.0,836.5
贵州,578240,贵定,2635,10714.0,1005.7
贵州,578250,凯里,2636,10759.0,721.2
贵州,578270,都匀,2619,10732.0,970.2
贵州,578280,麻江,2630,10735.0,983.9
贵州,578290,丹寨,2612,10748.0,964.2
贵州,578320,三穗,2658,10840.0,627.8
贵州,578340,台江,2641,10818.0,643.1
