ProvID,ProvCN,ProvEN,CityID,CityCN,CityEN,AreaCode,Postcode,Plate
,,,2306,吉安,Ji'an,0796,343000,赣D
,,,2307,赣州,Ganzhou,0797,341000,赣B
,,,2308,景德镇,Jingdezhen,0798,333000,赣H
,,,2309,萍乡,Pingxiang,0799,337000,赣J
,,,2310,新余,Xinyu,0790,338000,赣K
,,,2311,鹰潭,Yingtan,0701,335000,赣L
24,山东,Shandong,2401,济南,Jinan,0531,250000,鲁A
,,,2402,青岛,Qingdao,0532,266000,鲁B/U
,,,2403,淄博,Zibo,0533,255000,鲁C
,,,2404,枣庄,Zaozhuang,0632,277000,鲁D
,,,2405,东营,Dongying,0546,257000,鲁E
,,,2406,烟台,Yantai,0535,264000,鲁F/Y
,,,2407,潍坊,Weifang,0536,261000,鲁G/V
,,,2408,济宁,Jining,0537,272000,鲁H
,,,2409,泰安,Tai'an,0538,271000,鲁J
,,,2410,威海,Weihai,0631,264200,鲁K
,,,2411,日照,Rizhao,0633,276800,鲁L
,,,2412,滨州,Bingzhou,0543,256600,鲁M
,,,2413,德州,Dezhou,0534,253000,鲁N
,,,2414,聊城,Liaocheng,0635,252000,鲁P
,,,2415,临沂,Linyi,0539,276000,鲁Q
,,,2416,菏泽,Heze,0530,274000,鲁R
,,,2417,莱芜 ,Laiwu,0634,271100,鲁S
25,河南,Henan,2501,郑州,Zhengzhou,0371,450000,豫A
,,,2502,开封,Kaifeng,0371,475000,豫B
,,,2503,洛阳,Luoyang,0379,471000,豫C
,,,2504,平顶山,Pingdingshan,0375,467000,豫D
,,,2505,安阳,Anyang,0372,455000,豫E
,,,2506,鹤壁,Hebi,0392,458000,豫F
,,,2507,新乡,Xinxiang,0373,453000,豫G
,,,2508,焦作,Jiaozuo,0391,454000,豫H
,,,2509,濮阳,Puyang,0393,457000,豫J
,,,2510,许昌,Xuchang,0374,461000,豫K
,,,2511,漯河,Luohe,0395,462000,豫L
,,,2512,三门峡,Sanmenxia,0398,472000,豫M
,,,2513,商丘,Shangqiu,0370,476000,豫N
,,,2514,周口,Zhoukou,0394,466000,豫P
,,,2515,驻马店,Zhumadian,0396,463000,豫Q
,,,2516,南阳,Nanyang,0377,473000,豫R
,,,2517,信阳,Xinyang,0376,464000,豫S
,,,2518,济源,Jiyuan,0391,459000,豫U
26,湖北,Hubei,2601,武汉,Wuhan,027,430000,鄂A
,,,2602,黄石,Huangshi,0714,435000,鄂B
,,,2603,十堰,Shiyan,0719,442000,鄂C
,,,2604,宜昌,Yichang,0717,443000,鄂E
,,,2605,襄阳,Xiangyang,0710,441000,鄂F
,,,2606,鄂州,E'zhou,0711,436000,鄂G
,,,2607,荆门,Jingmen,0724,448000,鄂H
,,,2608,孝感,Xiaogan,0712,432000,鄂K
